"","Place","Longitude","Latitude","Zoom","Color","Opacity"
"1","[Select location]",-72.6569,41.5566,12,"white",0.1
"2","Long Lane Farm",-72.666572,41.544479,16.5,"red",0.7
"3","Indian Hill Cemetery",-72.662807,41.556045,16.5,"red",0.7
"4","Beman Triangle",-72.660037,41.553141,16.5,"red",0.7
"5","High Rise/Traverse Square",-72.651434,41.556051,17.5,"red",0.7
"6","University Organizing Center",-72.653768,41.554871,17.5,"red",0.7
"7","The CFA",-72.657644,41.559195,17.5,"red",0.7
"8","Cheshire Correctional Facility",-72.899007,41.522029,14.5,"red",0.7
"9","York Correctional Institution",-72.237167,41.323157,14.5,"red",0.7
"10","MacDougall-Walker Correctional Institution",-72.635379,41.950153,17.5,"red",0.7
"11","Music House",-72.65632,41.561128,17.5,"red",0.7
"12","200 Church",-72.654979,41.554568,17.5,"red",0.7
"13","Olin Memorial Library",-72.65668,41.554736,17.5,"red",0.7
"14","167-169 High Street",-72.653967,41.554169,17.5,"red",0.7
"15","Alpha Delta Phi",-72.654756,41.554839,17.5,"red",0.7
"16","Office of Public Safety",-72.653932,41.555563,17.5,"red",0.7
"17","College Row",-72.655411,41.556162,17.5,"red",0.7
"18","First President's House/Center for the Americas",-72.655301,41.557185,17.5,"red",0.7
"19","President's House",-72.65562,41.557665,17.5,"red",0.7
"20","Downey House",-72.654398,41.558491,17.5,"red",0.7
"21","Davison Arts Center",-72.65582,41.558595,17.5,"red",0.7
"22","Davison Health Center",-72.655855,41.559487,17.5,"red",0.7
"23","Russell House",-72.654626,41.560504,17.5,"red",0.7
"24","Green Street/North End Action Team",-72.651723,41.565099,17.5,"red",0.7
